Date,ID,CCLnt,SCL,Weight,Water Column Depth,Easting,Northing
26-Nov-04,A017,57,54,19.5,1.1,358994,2069465
24-Nov-03,A034,25,NA,1.64,NA,356824,2069992
24-Nov-03,A036,36,NA,4.48,NA,356959,2069944
27-Jul-05,A036,54.2,50.1,13.85,1.6,356621,2070179
29-Aug-05,A036,54,50.3,14.6,1,357026,2069935
30-Nov-03,A043,42.5,NA,7.58,0.9,364748,2067420
02-Dec-03,A046,42.1,NA,7.26,1,359470,2069195
03-Dec-03,A049,66,NA,31,1.1,357814,2069542
03-Dec-03,A052,46.3,NA,10.3,0.9,356387,2070316
09-Dec-03,A062,25.9,NA,1.92,1.3,362027,2068598
11-Dec-03,A070,24.2,NA,1.54,NA,357715,2072906
12-Dec-03,A077,43.6,NA,8,0.9,357923,2069952
13-Dec-03,A081,41.2,NA,8.04,0.8,364898,2067307
15-Dec-03,A083,29.5,NA,2.56,0.7,359393,2069174
16-Feb-04,A085,32.1,30.5,3.58,0.8,357759,2069760
17-Feb-04,A087,29.3,27.5,2.6,0.5,362850,2068808
22-Sep-04,A087,33.4,31.5,4.04,0.7,363176,2068590
29-Nov-04,A087,34.9,32.5,4.35,0.7,NA,NA
26-Jul-05,A087,39,36.4,5.9,0.6,363409,2068430
29-Feb-04,A106,30.8,29.1,2.82,1.1,359434,2069150
23-May-04,A106,NA,31.2,3.54,0.9,359476,2069193
18-May-04,A112,45.5,42.5,NA,0.4,362543,2068949
18-May-04,A113,43.5,40.2,NA,0.4,362751,2068867
18-May-04,A114,28.4,26.7,NA,0.4,363298,2068485
19-May-05,A114,38.5,35.6,5.5,1,NA,NA
18-May-04,A115,38.5,35.4,NA,0.5,364999,2067029
20-Jul-04,A157,45.6,42.8,8.8,0.7,357850,2069974
20-Jul-04,A158,30,28.4,2.74,0.6,358744,2069625
20-Nov-03,A009,24.7,NA,1.5,NA,343819,2086795
16-May-05,A009,41.8,NA,7.25,0.9,NA,NA
02-Dec-03,A047,32.5,NA,3.64,1.3,362022,2068606
23-May-04,A128,28.2,26.5,2.2,0.9,358868,2069491
26-Nov-04,A128,35.6,33.7,4.55,1.1,358994,2069465
25-Jul-05,A128,42.1,40.4,7.05,0.8,357697,2070084
21-May-04,A124,32,29.7,3.2,4.6,361280,2066266
25-Nov-04,A181,35.3,33.4,4.38,3.4,361477,2067070
25-Nov-04,A183,23.9,23,1.46,4.1,361221,2067170
25-Nov-04,A184,38.4,35.7,6.02,4.3,360489,2067237
26-Nov-04,A185,38.1,36.3,5.65,1.2,360219,2069624
26-Nov-04,A186,45.7,42.8,10.45,0.9,360009,2069811
27-Nov-04,A187,42.5,40.4,8.2,NA,NA,NA
27-Nov-04,A188,35.1,33,4.6,NA,NA,NA
12-Jul-05,A189,38,36,5.4,0.9,358446,2073363
28-Nov-04,A200,66.3,62.5,30,1.6,356719,2070072
28-Nov-04,A201,68,62.7,31.5,2,356851,2069976
28-Nov-04,A205,43.5,39.7,7.8,1,358083,2069977
29-Nov-04,A206,37,34.5,5.7,0.9,NA,NA
29-Nov-04,A209,32.3,30.7,3.8,1.2,NA,NA
29-Nov-04,A210,48.3,45.8,10.3,1.1,NA,NA
09-Dec-04,A213,28.2,26.3,2.3,1,NA,NA
01-Mar-05,A218,21.4,20,1.02,0.5,NA,NA
01-Mar-05,A223,38.9,35.3,5.5,0.8,NA,NA
16-May-05,A225,27,NA,1.95,0.7,NA,NA
16-May-05,A226,32.2,NA,3.05,1.3,NA,NA
18-May-05,A231,38.5,35.9,5.5,0.9,NA,NA
18-May-05,A232,75.2,71.8,40,NA,NA,NA
19-May-05,A234,30,27.4,2.55,0.7,NA,NA
19-May-05,A235,40,37.9,6.45,0.8,NA,NA
20-May-05,A237,39.2,37.2,5.95,0.8,NA,NA
21-May-05,A240,38.5,36,5.25,NA,NA,NA
09-Jul-05,A250,34.5,32.5,4.3,0.5,361757,2069127
09-Jul-05,A251,35.8,33.4,4.8,0.5,361757,2069127
09-Jul-05,A252,31.2,29.2,3.08,0.9,361585,2068926
10-Jul-05,A255,49.3,46.1,10.2,0.6,358861,2070207
10-Jul-05,A256,49.5,46.5,11.5,0.6,359011,2070096
11-Jul-05,A258,63.7,58.7,25.5,1.2,358381,2068932
13-Jul-05,A265,47.4,44,10.05,0.8,359540,2070037
13-Jul-05,A266,45.3,42.5,9.4,0.8,359540,2070037
14-Jul-05,A267,49.2,45.7,11.25,0.7,359990,2069813
15-Jul-05,A268,28.7,27.5,2.35,0.5,359986,2069999
15-Jul-05,A269,46,42.6,10.2,NA,NA,NA
16-Jul-05,A271,28.7,27,2.05,0.4,361658,2068949
16-Jul-05,A272,30.5,29,2.95,0.8,363083,2067158
19-Jul-05,A273,30.2,28.6,3.1,0.4,361728,2068948
19-Jul-05,A274,19,17.8,0.8,0.8,361486,2068817
19-Jul-05,A276,25.3,23.4,2.1,0.5,360195,2069633
28-Jun-06,A276,36.5,NA,NA,NA,NA,NA
19-Jul-05,A277,43.2,40,7.9,0.5,359851,2069960
20-Jul-05,A279,29.4,NA,2.75,0.7,359677,2069985
20-Jul-05,A281,41.3,38,6.1,1,359679,2069983
20-Jul-05,A282,36,34.2,4.85,0.3,359744,2070004
20-Jul-05,A284,51.4,47.4,12.65,0.5,357839,2069972
20-Jul-05,A285,41.6,33.2,6.4,0.1,358204,2069996
17-Jul-06,A285,41.6,NA,NA,NA,NA,NA
22-Jul-05,A287,60.2,56.5,23.5,1.3,358777,2069432
23-Jul-05,A289,39.8,36.5,6,0.4,361609,2069346
17-Sep-05,A289,39.5,37.1,NA,0.5,NA,NA
25-Jul-05,A293,38,34.5,5.1,0.5,359891,2069959
25-Jul-05,A294,49.2,46.9,11.8,0.9,359806,2070030
25-Jul-05,A295,38.7,36.1,5.5,NA,360053,2069836
27-Jul-05,A296,70,66.1,32.85,1.7,355074,2070775
02-Aug-05,A300,33.2,31.4,3.8,0.8,357688,2073074
03-Aug-05,A307,46.2,43,8.05,0.9,357668,2069871
04-Aug-05,A309,35.2,33,4.1,0.5,361759,2069123
05-Aug-05,A313,38.4,36.2,4.9,0.5,365151,2067047
05-Aug-05,A314,49.5,45.3,12.45,0.9,365701,2066978
06-Aug-05,A317,54.9,50.7,16.65,0.6,358946,2070152
06-Aug-05,A318,39.3,36.1,5.35,0.6,358886,2070185
06-Aug-05,A319,50.4,46.4,11.6,0.6,358419,2070220
08-Aug-05,A320,51.3,47.4,12.95,0.6,357762,2070195
08-Aug-05,A321,47.5,43.9,10.55,0.6,359076,2070012
08-Aug-05,A323,47.4,43.7,10.7,0.9,360307,2069943
09-Aug-05,A324,31.6,29.8,2.9,0.6,360046,2070055
09-Aug-05,A327,30.6,27.7,2.3,NA,NA,NA
12-Aug-05,A331,38.8,36.3,5.15,0.8,359898,2069960
13-Aug-05,A335,34.2,32.4,3.9,0.6,361884,2069194
13-Aug-05,A336,30.8,28.5,2.7,0.5,361881,2069198
28-Jun-06,A336,39,NA,NA,NA,NA,NA
18-Aug-05,A337,29.3,27.4,2.25,0.6,359045,2069950
18-Aug-05,A338,43.8,41,8.5,0.8,360835,2069548
22-Aug-05,A340,37.9,35.3,4.9,0.8,360827,2069821
23-Aug-05,A341,48.5,44.5,10.25,0.8,357627,2070248
25-Aug-05,A342,50,46.3,NA,0.8,357848,2069997
27-Aug-05,A344,30.5,28.3,3.8,1,361999,2069181
27-Aug-05,A346,42.2,38.2,8,1,365741,2066981
29-Aug-05,A348,42.4,39.6,8.8,1,356970,2069942
29-Aug-05,A349,42,38.6,7.8,0.6,358074,2069984
29-Aug-05,A351,34.7,32.3,4.9,0.9,359716,2069900
30-Aug-05,A352,30.1,27.6,3,0.9,359016,2069474
30-Aug-05,A353,31.6,29.5,3.3,0.9,356781,2070048
30-Aug-05,A354,34.3,31.8,4.2,0.6,357614,2069863
30-Aug-05,A355,31.5,29,4.8,1,356796,2070047
30-Aug-05,A356,54.9,50.6,14.7,1.5,358188,2068882
31-Aug-05,A360,29,27.3,2.35,0.4,364569,2067455
31-Aug-05,A361,50.5,46.6,11.6,1.5,366093,2067899
01-Sep-05,A363,34.8,31.6,3.8,0.6,357731,2069979
01-Sep-05,A364,34.2,31.6,3.75,0.6,357731,2069979
03-Sep-05,A366,29,27.1,2.35,0.9,361878,2068608
03-Sep-05,A367,32.7,30.7,3.15,0.6,361224,2069670
05-Sep-05,A368,28,25.9,2.1,4.6,361435,2066771
08-Sep-05,A369,37.4,35.2,5.05,0.6,NA,NA
08-Sep-05,A373,35.6,33,4,0.6,NA,NA
17-Jul-06,A373,41.5,NA,NA,NA,NA,NA
10-Sep-05,A376,62.3,58,23.95,0.5,NA,NA
17-Sep-05,A379,35.9,33.1,NA,0.7,NA,NA
18-Sep-05,A381,34.4,32.6,4.25,0.9,NA,NA
21-Sep-05,A382,33.2,30.7,3.52,0.9,NA,NA
03-Dec-05,A390,38,NA,NA,NA,NA,NA
28-Jun-06,A390,45,NA,NA,NA,NA,NA
17-Jul-06,A390,47.4,NA,NA,NA,NA,NA
03-Dec-05,A391,35,NA,NA,NA,NA,NA
28-Jun-06,A392,40,NA,NA,NA,NA,NA
28-Jun-06,A393,42.3,NA,NA,NA,NA,NA
17-Jul-06,A397,48.5,NA,NA,NA,NA,NA
17-Jul-06,A398,53,NA,NA,NA,NA,NA
08-Aug-06,A336,39.5,NA,NA,NA,NA,NA
17-Jul-06,A394,25.1,NA,NA,NA,NA,NA
17-Jul-06,A395,33.4,NA,NA,NA,NA,NA
17-Jul-06,A396,37.5,NA,NA,NA,NA,NA
08-Aug-06,A399,34.4,NA,NA,NA,NA,NA
08-Aug-06,A400,36.4,NA,NA,NA,NA,NA
